index,mid,display_name,display_name_zh
158,/m/0cfdd,Drum machine,电子鼓
159,/m/026t6,Drum,鼓
160,/m/06rvn,Snare drum,小军鼓
161,/m/03t3fj,Rimshot,边击
162,/m/02k_mr,Drum roll,鼓roll
163,/m/0bm02,Bass drum,低音鼓
164,/m/011k_j,Timpani,定音鼓
165,/m/01p970,Tabla,印度手鼓
166,/m/01qbl,Cymbal,钹
167,/m/03qtq,Hi-hat,踩镲
168,/m/01sm1g,Wood block,木鱼
169,/m/07brj,Tambourine,铃鼓
170,/m/05r5wn,Rattle (instrument),响器
171,/m/0xzly,Maraca,沙锤
172,/m/0mbct,Gong,锣
173,/m/016622,Tubular bells,管钟
174,/m/0j45pbj,Mallet percussion,槌击乐器
175,/m/0dwsp,"Marimba, xylophone","马林巴、木琴"
176,/m/0dwtp,Glockenspiel,钟琴
177,/m/0dwt5,Vibraphone,颤音琴
178,/m/0l156b,Steelpan,钢鼓
179,/m/05pd6,Orchestra,管弦乐队
180,/m/01kcd,Brass instrument,铜管乐器
181,/m/0319l,French horn,圆号
182,/m/07gql,Trumpet,小号
183,/m/07c6l,Trombone,长号
184,/m/0l14_3,Bowed string instrument,弓弦乐器
185,/m/02qmj0d,String section,弦乐组
186,/m/07y_7,"Violin, fiddle","小提琴"
187,/m/0d8_n,Pizzicato,拨弦
188,/m/01xqw,Cello,大提琴
189,/m/02fsn,Double bass,低音提琴
190,/m/085jw,"Wind instrument, woodwind instrument","管乐器、木管乐器"
191,/m/0l14j_,Flute,长笛
192,/m/06ncr,Saxophone,萨克斯
193,/m/01wy6,Clarinet,单簧管
194,/m/03m5k,Harp,竖琴
195,/m/0395lw,Bell,钟
196,/m/03w41f,Church bell,教堂钟
197,/m/027m70_,Jingle bell,铃铛
198,/m/0gy1t2s,Bicycle bell,自行车铃
199,/m/07n_g,Tuning fork,音叉
200,/m/0f8s22,Chime,钟琴/管钟
201,/m/026fgl,Wind chime,风铃
202,/m/0150b9,Change ringing (campanology),钟乐变化敲击
203,/m/03qjg,Harmonica,口琴
204,/m/0mkg,Accordion,手风琴
205,/m/0192l,Bagpipes,风笛
206,/m/02bxd,Didgeridoo,迪吉里杜管
207,/m/0l14l2,Shofar,羊角号
208,/m/07kc_,Theremin,特雷门琴
209,/m/0l14t7,Singing bowl,颂钵
210,/m/01hgjl,Scratching (performance technique),刮盘技巧
211,/m/064t9,Pop music,流行音乐
212,/m/0glt670,Hip hop music,嘻哈音乐
213,/m/02cz_7,Beatboxing,节拍盒
214,/m/06by7,Rock music,摇滚乐
215,/m/03lty,Heavy metal,重金属
216,/m/05r6t,Punk rock,朋克摇滚
217,/m/0dls3,Grunge,垃圾摇滚
218,/m/0dl5d,Progressive rock,前卫摇滚
219,/m/07sbbz2,Rock and roll,摇滚乐
220,/m/05w3f,Psychedelic rock,迷幻摇滚
221,/m/06j6l,Rhythm and blues,节奏布鲁斯
222,/m/0gywn,Soul music,灵魂乐
223,/m/06cqb,Reggae,雷鬼
224,/m/01lyv,Country,乡村音乐
225,/m/015y_n,Swing music,摇摆乐
226,/m/0gg8l,Bluegrass,蓝草音乐
227,/m/02x8m,Funk,放克
228,/m/02w4v,Folk music,民谣
229,/m/06j64v,Middle Eastern music,中东音乐
230,/m/03_d0,Jazz,爵士
231,/m/026z9,Disco,迪斯科
232,/m/0ggq0m,Classical music,古典音乐
233,/m/05lls,Opera,歌剧
234,/m/02lkt,Electronic music,电子音乐
235,/m/03mb9,House music,浩室音乐
236,/m/07gxw,Techno, techno
237,/m/07s72n,Dubstep, dubstep
238,/m/0283d,Drum and bass,鼓打贝斯
239,/m/0m0jc,Electronica,电子乐
240,/m/08cyft,Electronic dance music,电子舞曲
241,/m/0fd3y,Ambient music,氛围音乐
242,/m/07lnk,Trance music,迷幻舞曲
243,/m/0g293,Music of Latin America,拉丁美洲音乐
244,/m/0ln16,Salsa music,萨尔萨
245,/m/0326g,Flamenco,弗拉明戈
246,/m/0155w,Blues,布鲁斯
247,/m/05fw6t,Music for children,儿童音乐
248,/m/02v2lh,New-age music,新世纪音乐
249,/m/0y4f8,Vocal music,声乐
250,/m/0z9c,A capella,无伴奏合唱
251,/m/0164x2,Music of Africa,非洲音乐
252,/m/0145m,Afrobeat,非洲节拍
253,/m/02mscn,Christian music,基督教音乐
254,/m/016cjb,Gospel music,福音音乐
255,/m/028sqc,Music of Asia,亚洲音乐
256,/m/015vgc,Carnatic music,卡纳提克音乐
257,/m/0dq0md,Music of Bollywood,宝莱坞音乐
258,/m/06rqw,Ska,斯卡
259,/m/02p0sh1,Traditional music,传统音乐
260,/m/05rwpb,Independent music,独立音乐
261,/m/074ft,Song,歌曲
262,/m/025td0t,Background music,背景音乐
263,/m/02cjck,Theme music,主题音乐
264,/m/03r5q_,Jingle (music),广告短曲
265,/m/0l14gg,Soundtrack music,配乐
266,/m/07pkxdp,Lullaby,摇篮曲
267,/m/01z7dr,Video game music,游戏音乐
268,/m/0140xf,Christmas music,圣诞音乐
269,/m/0ggx5q,Dance music,舞曲
270,/m/04wptg,Wedding music,婚礼音乐
271,/t/dd00031,Happy music,快乐音乐
272,/t/dd00033,Sad music,悲伤音乐
273,/t/dd00034,Tender music,温柔音乐
274,/t/dd00035,Exciting music,激动音乐
275,/t/dd00036,Angry music,愤怒音乐
276,/t/dd00037,Scary music,恐怖音乐
277,/m/03m9d0z,Wind,风声
278,/m/09t49,Rustling leaves,树叶沙沙声
279,/t/dd00092,Wind noise (microphone),麦克风风噪
280,/m/0jb2l,Thunderstorm,雷暴
281,/m/0ngt1,Thunder,雷声
282,/m/0838f,Water,水声
283,/m/06mb1,Rain,雨声
284,/m/07r10fb,Raindrop,雨滴
285,/t/dd00038,Rain on surface,雨打表面
286,/m/0j6m2,Stream,溪流
287,/m/0j2kx,Waterfall,瀑布
288,/m/05kq4,Ocean,海洋
289,/m/034srq,"Waves, surf","海浪、拍岸"
290,/m/06wzb,Steam,蒸汽声
291,/m/07swgks,Gurgling,咕噜声（水）
292,/m/02_41,Fire,火
293,/m/07pzfmf,Crackle,噼啪声
294,/m/07yv9,Vehicle,车辆
295,/m/019jd,"Boat, Water vehicle","船、水上交通工具"
296,/m/0hsrw,"Sailboat, sailing ship","帆船"
297,/m/056ks2,"Rowboat, canoe, kayak","划艇、独木舟"
298,/m/02rlv9,"Motorboat, speedboat","快艇"
299,/m/06q74,Ship,轮船
300,/m/012f08,Motor vehicle (road),机动车（道路）
301,/m/0k4j,Car,汽车
302,/m/0912c9,"Vehicle horn, car horn, honking","汽车喇叭、鸣笛"
303,/m/07qv_d5,Toot,短促喇叭声
304,/m/02mfyn,Car alarm,汽车警报
305,/m/04gxbd,"Power windows, electric windows","电动车窗"
306,/m/07rknqz,Skidding,刹车打滑
307,/m/0h9mv,Tire squeal,轮胎尖叫
308,/t/dd00134,Car passing by,汽车经过
309,/m/0ltv,"Race car, auto racing","赛车"
310,/m/07r04,Truck,卡车
311,/m/0gvgw0,Air brake,气刹
312,/m/05x_td,"Air horn, truck horn","气喇叭、卡车喇叭"
313,/m/02rhddq,Reversing beeps,倒车哔哔声
314,/m/03cl9h,"Ice cream truck, ice cream van","冰淇淋车"
315,/m/01bjv,Bus,公共汽车
316,/m/03j1ly,Emergency vehicle,紧急车辆
317,/m/04qvtq,Police car (siren),警车警笛
318,/m/012n7d,Ambulance (siren),救护车警笛
319,/m/012ndj,"Fire engine, fire truck (siren)","消防车警笛"
320,/m/04_sv,Motorcycle,摩托车
321,/m/0btp2,"Traffic noise, roadway noise","交通噪声、道路噪声"
322,/m/06d_3,Rail transport,铁路交通
323,/m/07jdr,Train,火车
324,/m/04zmvq,Train whistle,火车汽笛
325,/m/0284vy3,Train horn,火车喇叭
326,/m/01g50p,"Railroad car, train wagon","火车车厢"
327,/t/dd00048,Train wheels squealing,火车轮子尖叫
328,/m/0195fx,"Subway, metro, underground","地铁"
329,/m/0k5j,Aircraft,飞机
330,/m/014yck,Aircraft engine,飞机引擎
331,/m/04229,Jet engine,喷气引擎
332,/m/02l6bg,"Propeller, airscrew","螺旋桨"
333,/m/09ct_,Helicopter,直升机
334,/m/0cmf2,"Fixed-wing aircraft, airplane","固定翼飞机"
335,/m/0199g,Bicycle,自行车
336,/m/06_fw,Skateboard,滑板
337,/m/02mk9,Engine,引擎
338,/t/dd00065,Light engine (high frequency),轻型引擎（高频）
339,/m/08j51y,"Dental drill, dentist's drill","牙医钻"
340,/m/01yg9g,Lawn mower,割草机
341,/m/01j4z9,Chainsaw,链锯
342,/t/dd00066,Medium engine (mid frequency),中型引擎（中频）
343,/t/dd00067,Heavy engine (low frequency),重型引擎（低频）
344,/m/01h82_,Engine knocking,引擎爆震
345,/t/dd00130,Engine starting,引擎启动
346,/m/07pb8fc,Idling,怠速
347,/m/07q2z82,"Accelerating, revving, vroom","加速、轰油门"
348,/m/02dgv,Door,门
349,/m/03wwcy,Doorbell,门铃
350,/m/07r67yg,Ding-dong,叮咚
351,/m/02y_763,Sliding door,推拉门
352,/m/07rjzl8,Slam,甩门
353,/m/07r4wb8,Knock,敲门
354,/m/07qcpgn,Tap,轻敲
355,/m/07q6cd_,Squeak,吱吱声
356,/m/0642b4,Cupboard open or close,橱柜开关
357,/m/0fqfqc,Drawer open or close,抽屉开关
358,/m/04brg2,"Dishes, pots, and pans","餐具、锅碗瓢盆"
359,/m/023pjk,"Cutlery, silverware","餐具、刀叉"
360,/m/07pn_8q,Chopping (food),切菜
361,/m/0dxrf,Frying (food),煎炸声
362,/m/0fx9l,Microwave oven,微波炉
363,/m/02pjr4,Blender,搅拌机
364,/m/02jz0l,"Water tap, faucet","水龙头"
365,/m/0130jx,Sink (filling or washing),水槽（注水/洗）
366,/m/03dnzn,Bathtub (filling or washing),浴缸（注水/洗）
367,/m/03wvsk,Hair dryer,吹风机
368,/m/01jt3m,Toilet flush,马桶冲水
369,/m/012xff,Toothbrush,刷牙
370,/m/04fgwm,Electric toothbrush,电动牙刷
371,/m/0d31p,Vacuum cleaner,吸尘器
372,/m/01s0vc,Zipper (clothing),拉链
373,/m/03v3yw,Keys jangling,钥匙叮当
374,/m/0242l,Coin (dropping),硬币掉落
375,/m/01lsmm,Scissors,剪刀
376,/m/02g901,"Electric shaver, electric razor","电动剃须刀"
377,/m/05rj2,Shuffling cards,洗牌
378,/m/0316dw,Typing,打字
379,/m/0c2wf,Typewriter,打字机
380,/m/01m2v,Computer keyboard,电脑键盘
381,/m/081rb,Writing,写字
382,/m/07pp_mv,Alarm,警报
383,/m/07cx4,Telephone,电话
384,/m/07pp8cl,Telephone bell ringing,电话铃声
385,/m/01hnzm,Ringtone,手机铃声
386,/m/02c8p,"Telephone dialing, DTMF","拨号、DTMF"
387,/m/015jpf,Dial tone,拨号音
388,/m/01z47d,Busy signal,忙音
389,/m/046dlr,Alarm clock,闹钟
390,/m/03kmc9,Siren,警笛
391,/m/0dgbq,Civil defense siren,防空警报
392,/m/030rvx,Buzzer,蜂鸣器
393,/m/01y3hg,"Smoke detector, smoke alarm","烟雾报警器"
394,/m/0c3f7m,Fire alarm,火警
395,/m/04fq5q,Foghorn,雾笛
396,/m/0l156k,Whistle,哨子
397,/m/06hck5,Steam whistle,蒸汽哨
398,/t/dd00077,Mechanisms,机械装置
399,/m/02bm9n,"Ratchet, pawl","棘轮、棘爪"
400,/m/01x3z,Clock,时钟
401,/m/07qjznt,Tick,滴答
402,/m/07qjznl,Tick-tock,滴答滴答
403,/m/0l7xg,Gears,齿轮
404,/m/05zc1,Pulleys,滑轮
405,/m/0llzx,Sewing machine,缝纫机
406,/m/02x984l,Mechanical fan,机械风扇
407,/m/025wky1,Air conditioning,空调
408,/m/024dl,Cash register,收银机
409,/m/01m4t,Printer,打印机
410,/m/0dv5r,Camera,相机
411,/m/07bjf,Single-lens reflex camera,单反相机
412,/m/07k1x,Tools,工具
413,/m/03l9g,Hammer,锤子
414,/m/03p19w,Jackhammer,风镐
415,/m/01b82r,Sawing,锯木
416,/m/02p01q,Filing (rasp),锉
417,/m/023vsd,Sanding,砂纸打磨
418,/m/0_ksk,Power tool,电动工具
419,/m/01d380,Drill,钻
420,/m/014zdl,Explosion,爆炸
421,/m/032s66,"Gunshot, gunfire","枪声"
422,/m/04zjc,Machine gun,机枪
423,/m/02z32qm,Fusillade,齐射
424,/m/0_1c,Artillery fire,炮火
425,/m/073cg4,Cap gun,玩具枪
426,/m/0g6b5,Fireworks,烟火
427,/g/122z_qxw,Firecracker,鞭炮
428,/m/07qsvvw,"Burst, pop","爆破、砰"
429,/m/07pxg6y,Eruption,喷发
430,/m/07qqyl4,Boom,轰鸣
431,/m/083vt,Wood,木头
432,/m/07pczhz,Chop,砍
433,/m/07pl1bw,Splinter,木屑
434,/m/07qs1cx,Crack,裂开
435,/m/039jq,Glass,玻璃
436,/m/07q7njn,"Chink, clink","叮当、叮"
437,/m/07rn7sz,Shatter,碎裂
438,/m/04k94,Liquid,液体
439,/m/07rrlb6,"Splash, splatter","泼溅、飞溅"
440,/m/07p6mqd,Slosh,晃荡
441,/m/07qlwh6,Squish,挤压声
442,/m/07r5v4s,Drip,滴水
443,/m/07prgkl,Pour,倒水
444,/m/07pqc89,"Trickle, dribble","细流、滴流"
445,/t/dd00088,Gush,涌出
446,/m/07p7b8y,Fill (with liquid),注水
447,/m/07qlf79,Spray,喷洒
448,/m/07ptzwd,Pump (liquid),泵水
449,/m/07ptfmf,Stir,搅拌
450,/m/0dv3j,Boiling,沸腾
451,/m/0790c,Sonar,声纳
452,/m/0dl83,Arrow,箭
453,/m/07rqsjt,"Whoosh, swoosh, swish","呼啸、嗖嗖"
454,/m/07qnq_y,"Thump, thud","重击、砰"
455,/m/07rrh0c,Thunk,闷响
456,/m/0b_fwt,Electronic tuner,电子调音器
457,/m/02rr_,Effects unit,效果器
458,/m/07m2kt,Chorus effect,合唱效果
459,/m/018w8,Basketball bounce,篮球弹地
460,/m/07pws3f,Bang,砰
461,/m/07ryjzk,"Slap, smack","拍、打"
462,/m/07rdhzs,"Whack, thwack","重击"
463,/m/07pjjrj,"Smash, crash","砸、撞"
464,/m/07pc8lb,Breaking,打破
465,/m/07pqn27,Bouncing,弹跳
466,/m/07rbp7_,Whip,鞭子
467,/m/07pyf11,Flap,拍打
468,/m/07qb_dv,Scratch,刮擦
469,/m/07qv4k0,Scrape,刮
470,/m/07pdjhy,Rub,摩擦
471,/m/07s8j8t,Roll,滚动
472,/m/07plct2,Crushing,压碎
473,/t/dd00112,"Crumpling, crinkling","皱、揉皱"
474,/m/07qcx4z,Tearing,撕裂
475,/m/02fs_r,"Beep, bleep","哔哔声"
476,/m/07qwdck,Ping,叮
477,/m/07phxs1,Ding,叮
478,/m/07rv4dm,Clang,铿锵
479,/m/07s02z0,Squeal,尖叫声
480,/m/07qh7jl,Creak,吱吱嘎嘎
481,/m/07qwyj0,Rustle,沙沙
482,/m/07s34ls,Whir,嗡嗡转
483,/m/07qmpdm,Clatter,哐当
484,/m/07p9k1k,Sizzle,滋滋
485,/m/07qc9xj,Clicking,咔嗒
486,/m/07rwm0c,Clickety-clack,咔嗒咔嗒
487,/m/07phhsh,Rumble,隆隆
488,/m/07qyrcz,Plop,扑通
489,/m/07qfgpx,"Jingle, tinkle","叮铃、叮当"
490,/m/07rcgpl,Hum,嗡嗡
491,/m/07p78v5,Zing,嗖
492,/t/dd00121,Boing,弹簧声
493,/m/07s12q4,Crunch,嘎吱
494,/m/028v0c,Silence,寂静
495,/m/01v_m0,Sine wave,正弦波
496,/m/0b9m1,Harmonic,谐波
497,/m/0hdsk,Chirp tone,啁啾音
498,/m/0c1dj,Sound effect,音效
499,/m/07pt_g0,Pulse,脉冲
500,/t/dd00125,"Inside, small room","室内、小房间"
501,/t/dd00126,"Inside, large room or hall","室内、大房间或大厅"
502,/t/dd00127,"Inside, public space","室内、公共空间"
503,/t/dd00128,"Outside, urban or manmade","室外、城市或人造环境"
504,/t/dd00129,"Outside, rural or natural","室外、乡村或自然环境"
505,/m/01b9nn,Reverberation,混响
506,/m/01jnbd,Echo,回声
507,/m/096m7z,Noise,噪声
508,/m/06_y0by,Environmental noise,环境噪声
509,/m/07rgkc5,Static,静电噪声
510,/m/06xkwv,Mains hum,电源哼声
511,/m/0g12c5,Distortion,失真
512,/m/08p9q4,Sidetone,侧音
513,/m/07szfh9,Cacophony,刺耳杂音
514,/m/0chx_,White noise,白噪声
515,/m/0cj0r,Pink noise,粉红噪声
516,/m/07p_0gm,Throbbing,搏动声
517,/m/01jwx6,Vibration,振动
518,/m/07c52,Television,电视
519,/m/06bz3,Radio,收音机
520,/m/07hvw1,Field recording,现场录音
